<header>
RTComments=
DataPeriod=10000
TimeMeasure=c
</header>
<table>
key	event	time	dur	tmofday
Reset				ВН+ГСБ-106 м 1
Num0	Центр	0.74	ON	0:00
Num0	Центр	9.86	OFF	0:09
Num3	Рукав С	9.86	ON	0:09
Num3	Рукав С	39.15	OFF	0:39
Num0	Центр	39.15	ON	0:39
Num0	Центр	41.55	OFF	0:41
Num2	Рукав В	41.55	ON	0:41
Num2	Рукав В	54.19	OFF	0:54
Num0	Центр	54.19	ON	0:54
Num0	Центр	55.55	OFF	0:55
Num3	Рукав С	55.55	ON	0:55
Num3	Рукав С	85.94	OFF	01:25
Num0	Центр	85.94	ON	01:25
Num0	Центр	87.31	OFF	01:27
Num1	Рукав А	87.31	ON	01:27
Num1	Рукав А	115.11	OFF	01:55
Num0	Центр	115.11	ON	01:55
Num0	Центр	126.42	OFF	02:06
Num2	Рукав В	126.42	ON	02:06
Num2	Рукав В	135.24	OFF	02:15
Num0	Центр	135.24	ON	02:15
Num0	Центр	137.99	OFF	02:17
Num1	Рукав А	137.99	ON	02:17
Num1	Рукав А	159.29	OFF	02:39
Num0	Центр	159.29	ON	02:39
Num0	Центр	160.68	OFF	02:40
Num3	Рукав С	160.68	ON	02:40
Num3	Рукав С	178.29	OFF	02:58
Num0	Центр	178.29	ON	02:58
Num0	Центр	188.23	OFF	03:08
Num2	Рукав В	188.23	ON	03:08
Num2	Рукав В	210.73	OFF	03:30
Num0	Центр	210.73	ON	03:30
Num0	Центр	216.33	OFF	03:36
Num1	Рукав А	216.33	ON	03:36
Num1	Рукав А	245.12	OFF	04:05
Num0	Центр	245.12	ON	04:05
Num0	Центр	246.4	OFF	04:06
Num2	Рукав В	246.4	ON	04:06
Num2	Рукав В	291.13	OFF	04:51
Num0	Центр	291.13	ON	04:51
Num0	Центр	292.68	OFF	04:52
Num3	Рукав С	292.68	ON	04:52
Exit		300		
Reset				ВН+ГСБ-106 м 2
Num0	Центр	0.44	ON	0:00
Num0	Центр	8.13	OFF	0:08
Num1	Рукав А	8.13	ON	0:08
Num1	Рукав А	29.53	OFF	0:29
Num0	Центр	29.53	ON	0:29
Num0	Центр	29.87	OFF	0:29
Num2	Рукав В	29.87	ON	0:29
Num2	Рукав В	35.51	OFF	0:35
Num0	Центр	35.51	ON	0:35
Num0	Центр	36.56	OFF	0:36
Num3	Рукав С	36.56	ON	0:36
Num3	Рукав С	52.29	OFF	0:52
Num0	Центр	52.29	ON	0:52
Num0	Центр	53.19	OFF	0:53
Num2	Рукав В	53.19	ON	0:53
Num2	Рукав В	63.79	OFF	01:03
Num0	Центр	63.79	ON	01:03
Num0	Центр	65.68	OFF	01:05
Num1	Рукав А	65.68	ON	01:05
Num1	Рукав А	88.95	OFF	01:28
Num0	Центр	88.95	ON	01:28
Num0	Центр	114.15	OFF	01:54
Num2	Рукав В	114.15	ON	01:54
Num2	Рукав В	134.02	OFF	02:14
Num0	Центр	134.02	ON	02:14
Num0	Центр	134.74	OFF	02:14
Num1	Рукав А	134.74	ON	02:14
Num1	Рукав А	149.41	OFF	02:29
Num0	Центр	149.41	ON	02:29
Num0	Центр	157.04	OFF	02:37
Num3	Рукав С	157.04	ON	02:37
Num3	Рукав С	172.32	OFF	02:52
Num0	Центр	172.32	ON	02:52
Num0	Центр	181.41	OFF	03:01
Num2	Рукав В	181.41	ON	03:01
Num2	Рукав В	195.2	OFF	03:15
Num0	Центр	195.2	ON	03:15
Num0	Центр	195.94	OFF	03:15
Num1	Рукав А	195.94	ON	03:15
Num1	Рукав А	228.05	OFF	03:48
Num0	Центр	228.05	ON	03:48
Num0	Центр	262.01	OFF	04:22
Num2	Рукав В	262.01	ON	04:22
Num2	Рукав В	298.49	OFF	04:58
Num0	Центр	298.49	ON	04:58
Exit		300		
Reset				ВН+ГСБ-106 м 3
Num0	Центр	0.38	ON	0:00
Num0	Центр	16.69	OFF	0:16
Num1	Рукав А	16.69	ON	0:16
Num1	Рукав А	44.86	OFF	0:44
Num0	Центр	44.86	ON	0:44
